Review;Rating;LikeReview
"ada pemeliharaan pas di jam orang"" pada war tiket h+6, jdnya server lemot parah, gabisa dipencet apa"". sekalinya bisa dipencet lanjut pembayaran eh ga bisa diapa apain juga cuma bisa nunggu waktu abis, pas ngecek lagi tiket nya udah pada abis. ada fitur email harusnya pemesanan yang harus dilakuin pembayaran di kasih notifikasi ke email, kalo pake qris ya qris nya di kirim di email. paling ngeselin ya itu, pemeliharaan jam jam 00.20.";1;1
sering eror ya, tinggal bayar tiba tiba keluar sendiri, trs dialihkan ke tulisan selesaikan pembayaran tapi ga bisa dipencet, jadi bayarnya lewat mana? mau dibatalin ga bisa harus nunggu sisa waktu bayar habis, sekalinya nunggu tiket kereta lokalnya udh habis emg harus diperbaiki lagi sistemnya ini apalagi pembayaran yg lewat ovo & shopeepay, sering keluar sendiri;1;10
di waktu krusial tiba tiba jadwal kereta tidak tersedia, padahal udah siap siap war... enaknya pakai access karna sudah simpan data penumpang dan bisa langsung pesan pulang pergi,, tapi karna sering down di waktu krusial, terpaksa pesan lewat booking.kai.id yg harus ngetik data pemesan dan tdk bisa pulang pergi.... semoga server ditingkatkan lagi supaya tidak down ketika customer mau war tiket;4;9
"aplikasi nya lumayan baguss, tapi pelayanan nya kurang, setiap mau mengajukan komplen atau bertanya balasannya "" ketik N untuk tidak ketik Y untuk melanjutkan"" kenapa gtu ga langsung balas aja? saya lebih baik menunggu lama tpi ada balasan, dripda balasan otomatis seperti itu.";4;4
untuk pelayanan booking kursi kereta jarak jauh sangat membantu sekali, Tapi tolong perhatikan rekanan kai pay perlu diperhatikan dan dipertimbangkan kembali. kalau saya lihat rekanan kai pay (kaspro) ratingnya sangatlah rendah. Sebab hal ini juga menjadi penilaian buruk buat app kai sendiri. Buat saya Access by KAI sangat bagus 💯;5;4
Tertulis tersedia, pas diklik gabisa. milih tanggal udah bener, pas masuk gak ada tiketnya alias blank. Nambah saldo kepotong administrasi, ada aja cacatnya. diupdate ga tambah mutakhir malah makin buruk.;2;1
Aplikasinya sudah oke dan bagus sangat mudah tapi tolong sistem pemesanan tiket jangan di persulit terutama untuk kereta kelas ekonomi subsidi dari tadi coba cek aplikasi semua tanggal di bulan yang sama semua jadwal tidak ada bahkan coba cek untuk keberangkatan dari stasiun yang lain tapi tujuannya sama coba cek di tanggal yang sama dan berbeda tapi di bulan yang sama justru malah muncul untuk kelas eksekutif, ayolah kai kereta ekonomi subsidi itu jangan di persulit.;2;5
aplikasi terjelek sejagad raya, pemilihan pembayaran tidak bisa dilakukan.Tabah lama tambah jelek aja, dulu nggak masalah sekarang ampun dah. Dan pembayaran terlalu cepat kadaluarsanya Masa iya sih harus ke stasiun dulu buat beli tiket... kembali ke jaman batu;1;10
server busuk, masa udah gue bayar tapi tiket nya gak muncul sama sekali, malah di kata error lah, mau dibatalin juga gabisa, tolong perbaiki secepatnya, soalnya sebagai pengguna kai sejati merasa dkrugikan;1;1
kadang jadwal yang dicari ga muncul dan lama banget. padahal tiket rute ini apalagi weekend selalu ramai. tolong diperbaiki. sudah 15 menit dicoba tetap ga keluar jadwalnya, terimakasih.;1;2
halo kak railmin, izin tanya apakah pemesanan tiket maksimal hanya 4 pelanggan dalam 1 akun? kenapa ga bisa diatas 4 pelanggan supaya kami yang suka trip menggunakan kereta api bisa pesan banyak untuk rombongan banyak dalam satu akun🙏🏻;5;2
KLO dari aplikasi KAI nya oke bgt sih mempermudah pemesanan.cuma partner asuransi dr MNC ny itu prosesnya lama bgt hampir 1 bulan ajukan klaim 4 klaim yg di ajukan baru dua yg sudah di trnsfer..;4;0
Saya kasih bintang 3 dlu, karena apk nya sudah bagus. Akan tetapi ketika saya mau top up melalui BNI Mobile Banking mengapa nomor virtual account nya tidak tersedia ya??? padahal sudah mengikuti panduan nya dan memasukan nomor yang tertera. Tolong dong ini diperbaiki lagi, saya jadi susah buat beli tiket kereta nya. Kalau bisa tambah fitur melalui e-wallet yang lain (yang sering dipakai orang2);3;0
dibelain begadang buat war tiket tp waktu jam 12 malem apk error stuck di isi penumpang, di refresh² gabisa sampe jam set1 malem tiba² jadwal yg mau dibeli udah abis, bener² kudu diperbaiki lagi sistemnya kai plisss biar ga buang² waktu istirahat di tengah malem kaya ginii;1;1
Menurut aku ini aplikasi sistemnya kebanyakan loading, tarus, pas mau pembayaran, gk ada icon button bayar jd kita harus pesan ulang dan bayar pakai metode bayarnya, waktu pemesanan tiket pertama memang blm ku konek kan dompet Ovo nya, nah pas mau aku tambahkan metode bayar, tiba2 tiket aku masuk di daftar menunggu pembayaran, cuman anehnya pas mau di bayar, icon button pembayarannya gk ada, pengennya di perbaiki lagi sih, dan jangan di banyakin loadingnya,;1;12
LEMOT PARAH. berkali-kali registrasi kenapa failed terus ya. bukan jaringan internet sini (milik saya) saya rasa.daftar aplikasi lain aman2 saja.lancar walhasil booking lewat Traveloka. ada aplikasi kai access saya kira memudahkan,sekedar untuk cek jadwal misal nya . malah tdk bisa masuk kode otp sdh di kirim,sudah di input juga.tp smpe time out masih muter2. berulang kali coba .gak bisa masuk sy registrasi aplikasi lain baik2 sjaa . apa saya yg tidak bisa atau kenapa lemot begini .;1;4
"Untuk kali ini, aplikasinya cukup mengecewakan (dalam dua hari terakhir ini) karena tidak bisa untuk mengecek jadwal kereta dan malahan tertulis ""tidak ada jadwal yang tersedia"". mohon untuk tindak lanjutnya. sehingga memudahkan customer untuk melihat jadwal keberangkatan kereta.";1;7
selalu ada kendala saat pesan tiket, pasti lama dan error server down gak pernah mulus dalam pemesanan. udah ditunggu lama dari jam 00.00 malah not found terus! sekalinya bisa masuk pesan tiket, error tidak ada kursi. sistem baru bisa lancar setelah 40 menit kemudian, tapi tiket kereta di jam yang diinginkan sudah habis terjual. sedih banget. tidak seperti dulu, sekali tiket dibatalkan pasti langsung batal! sekarang harus tunggu waktu 8 menit untuk memesan ulang! buang waktu!!!;1;6
harusnya aplikasi ini tidak cocok untuk mendapatkan bintang meskipun hanya 1. saya sudah tidak bisa lagi menggunakannya. login tidak bisa, lemot sekali, dan tiba-tiba selalu failed data. kalau update harus nya menjadi lebih baik dan efisien, bukan makin buruk dan mempersulit.;1;12
Perbaiki bug nya !! Ketersediaan tiket tidak konsisten/stabil. Sebelumnya dicek ada, beberapa saat kemudian tidak ada. Setelah restart muncul lagi ketersediaannya, tapi waktu back menu sebelumnya terus cek lagi hilang lagi.;1;10
"mau war tiket malah ga muncul"" padahal udah 00.00, hasilnya ga dapet tiket. padahal sinyal aman, hp lancar, aplikasi rusak, calo ga abis"", aplikasi jelek mending pake pihak ketiga daripada pake ini, APLIKASI RUSAK!!!!!";1;13
Kai plis.. Saat pengiriman kode otp kenapa bisa 2 jam lebih bahka itu juga masih muter-muter. tolong di perbaiki apa server bermasalah? lag?..🙃;3;1
kai access wkt baru daftar lancar badai. kenapa sdh pembaruan aplikasi mau top up aja semua bank , semua kartu ga bisa. ada yg billang system tdk tersedia, ada yg bilang sdg maintenance. mana yg bener coba.;2;2
Mau pesen di apps harus member basic, begitu daftar malah gak bisa, semua cs terlalu lelet untuk hapus akun, call melalui apps terputus mulubegitu udah bisa kereta yang di mau udah ga ada harus beli di jam keberangkatan berikutnya. nyusahin;1;2
versi update 15 February 2026, sangat lelet padahal koneksi sedang normal dan aplikasi lain berjalan lancar, pun sudah lama menunggu masih saja tidak bisa dipencet, selalu keluar notifikasi dalam perbaikan, masa perbaikan hampir sebulan lebih? tolong perbaiki;1;14
"lama² kesal jadi nya,telat beli tiket karna aplikasi nya dikit² ""maaf layanan tidak tersedia karena proses pemeliharaan"" mau sampai kapannn? dikit² gk bisa diakses,dikit² error,jauh² hari beli tiket malah error,nanti pas dekat² hari hari baru bisa kursi udah habis,tolong diperbaiki lagi update an nya!!";1;2
"2026 ini maintenance-nya jelekkk bangett anjirr Bug mulu tapi ga pernah diperbaiki, sering ada pemberitahuan maintenance tapi bugnya masih sama ""tidak ada jadwal kereta"" padahal sebelumnya ada banyak tapi pas ke klik masuk dan keluar malah langsung ilang semua ""tidak ada jadwal kereta"" Apa coba?!!!";1;8
Overall bagus. Tapi tolong itu bug-nya diperbaiki, masa pas cek tiket ada (tersedia) pas lanjut isi data dll gak mau lanjut ke sesi berikutnya. Terus, untuk KA Kuala Stabas kenapa pemesanan tiketnya harus seminggu sebelum keberangkatan ya? Nggak bisa gitu kayak KA Rajabasa?? Full satu bulan tiketnya di spill dan udah bisa di booking. Terakhir, adain kereta malam dong untuk rute (OKU) Baturaja - Tanjung Karang (Bandar Lampung). Terima kasih.;4;1
Perbaiki bug nya !! Ketersediaan tiket tidak konsisten/stabil. Sebelumnya dicek ada, beberapa saat kemudian tidak ada. Setelah restart muncul lagi ketersediaannya, tapi waktu back menu sebelumnya terus cek lagi hilang lagi. Aneh.....🤦🏻‍♂️🤦🏻‍♂️;1;6
aneh memang Di Refresh Sekali masih ada Saat di Klik lagi tanggalnya Malah Gak ada Jadwal perjalanannya Kok,makin Gak jelas Aplikasinyaaa perbaiki Lagi BugNya.. beda sama di aplikasi pihak ke3 Di tanggal yg di Maksud,,,, All Available..;1;8
sistem antriannya tolong diperbaiki saat banyak yang akses. disuruh nunggu 5mnt masih oke.. setelah menit ke-0 ditambah lagi 4mnt.. saat udh 4mnt ternyata jadwal yang diincar tidak ada rute.. padahal hari biasanya ada rute kereta walau tiket udh habis terjual. aku cek rute lain antri lagi, dan setelah menit-0 tidak ada rute..;1;7
KAI sekarang jelek banget pas mau pesan tiket loading nya lama banget udaa lama ntar malah katanya tidak ada tiket yg tersedia utk keberangkatan ini, padahal mau nambah penumpang lagi di awal pesan bisa mau pesan 1 lagi malah gini terus padahal dulu ngga gini saya sudah sering naik kereta api ngga pernah gini, sekarang ntah kenapa malah gini mohon di perbaiki min;1;8
Terimakasih sangat dengan pelayanan yg sangat luar biasa selama ini, namun penjualan makanan keliling saat ini sangat mengganggu sekali, berisik sekali, dan mengganggu mobilitas, saya kira cukup di umumkan saja dan cukup ada di restorasi sj, gausah mondar mandir karena sangat mengganggu sekali;3;0
Aplikasi KAI ini bagus sebenernya, cuma kebanyakan fitur loading page nya, lamaa bgt meskipun jaringan ku udah stabil. war tiket pakek 2 hp aja kebanyakan loading. tiba2 gaada seat nya. tiba2 habis tiketnya. ga konsisten bgt. di sisi lain, pemesanan tiket lokal cuma bisa lewat apk ini. kebanyakan pop up sesuai atau nggak sering eror pula aplikasinya. padahal kereta termasuk transportasi umum paling favoritku dan ramah bgt buat perempuan kek aku yg sering berpergian luar kota.;1;4
untuk aplikasinya mudah dan sangat membantu tapi untuk metode pembayaran apalagi saat top up masa saya top up sudah hampir 1 hari nunggu saldonya tidak masuk² tolong diperbaiki ya kalau Begini terus akan sangat menyusahkan.;5;29
untuk proses pembayaran yang tiba tiba balik ke beranda/logout, terus tidak bisa melanjutkan pembayaran lagi tolong di perbaiki agar bisa melanjutkan pembayaran pak meskipun ke logout, masih dalam durasi;3;0
aplikasinya susah untuk memesan tiket kereta lokal,bila mau pesan harus upgrade akun tapi ketika mau proses upgrade selalu gagal ketika otp dimasukkan,menyusahkan sekali ingin pesan tiket dipersulit,;2;0
Kesan pertama tampilan nya kurang banget jauh lebih suka sebelum di update dan pembayaran cuma bisa lewat link aja? Klo bisa balikin aja kayak dulu tampilan, menu semua nya deh Kesan kedua setelah 5 tahun udh jauh lbh baik minusnya cmn 1 dan selalu Down servernya klo lg war tiket mudik;5;14
UI sudah lumayan, cuma bisa minta tolong UI dikasih gambar detail gerbong/ arah keberangkatan, jadi ada sistem integrasi dengan pusat sarana dengan aplikasi supaya lebih memudahkan penumpang, apalagi dengan KA Tawang Alun yang notabennya ada perpindahan lg lajur kereta. Untuk UX bisa dimaksimalkan lagi dalam pemilihan kereta, karena agak risih dalam sistem antrian tiket karena banyak yg gk kebagian tiket, bisa di pertimbangkan dgn sistem in memory queue, data sementara di user kmdn ke database;4;3
Beli pulsa di kai access sebanyak 3 x transaksi, transaksi gagal tapi saldo sudah terpotong dan pulsa tidak masuk dan sudah buat laporan pengembalian dana tapi yang dikembalikan hanya 2 transaksi saja. Kasus dari Januari sampe april ini sudah kesana kemari buat laporan yang sisa 1 transaksi juga belum di kembalikan dananya sampe per april saat ini. Bener bener sistem bobrok!!!;1;2
pengenaan antrian tidak logis, sering sekali apk eror dan tiket yang tersedia tiba² tidak bisa di beli. ini sangat merugikan konsumen. kedepan nya mohon di perbaiki kepastian ketersediaan tiket dan sistem aplikasi nya agar tidak sering eror.;1;9
"tambah bikin ribet masa iya pesan tiket jam 00.00 yang harusnya udah keluar tiketnya tambah ini aplikasi lemot banget ga keluar"" jadwal pemberangkatannya nanti kalo udah jam 1.00 tiket udah habis semua,, tolong ya ini sistemnya di perbaiki lagi biar masyarakat ga kecewa sama sistem pesan online lewat kai acces";1;1
KA bandara express dr Jogja ke bandara atau sebaliknya tidak bisa memilih tempat duduk untuk apa bayar lebih mahal kalau kita tidak bisa milih tempat duduk seperti dulu pakai KA bandara aplikasi, penurunan kualitas menurut saya. selisih 3x harga kereta bandara biasa. ini aplikasinya atau memang rulesnya yg berubah..;1;2
setelah sekian lama pakai KAI acces baru tahun ini kecewa. apa memang rata rata kalo aplikasi bukan milik swasta selalu bermasalah? cari kereta lokal aja tidak muncul. masuk ke antar kota tambah lagi cuma searching. update juga sudah. wah menyusahkan saja.;1;7
terdapat bug yang mengecewakan ketika saya pesan kursi di hari dan jam yg sebelumnya sudah saya booking namun saat pembayaran tidak muncul halaman pembayaran. ketika saya pesan ulang malah tidak bisa dikarenakan sudah booking di hari dan jam yg sama ini bagaimana? masa harus booking di jam berbeda? saya ada perlu sehingga pesan di jam tersebut. sangat mengecewakan;1;1
Aplikasi Sampah, Banyak eror ga jelas, Ga bisa ganti rute pdhl baru di beli dan blm di gunakan, refund tidak masuk, terkick dari akun dan saat masuk tidak bisa padahal sandi bener. lemot parah!;1;3
penampilan aplikasi sudah lebih baik, namun untuk pengecekan tiket hanya bisa 3 kali dan lebih dari itu tidak tampil sama sekali tiket yang dicari walaupun tgl masih available. masih lebih baik aplikasi yang lamanya.;1;2
Halo kai sediain kereta yang lebih nyaman dong buat rute Kediri-Surabaya. Adain kereta eksekutifnya dong. Kereta commuter line pegel kursinya. Mau yang lebih nyaman soalnya tiap Minggu naik kereta terus. semoga diadakan ya kereta yang lebih nyaman, harga naik ga masalah asal nyaman.;4;1
Sangat membantu, dan. Sangat mudah tanpa harus datang ke. Stasiun bila mau booking tiket, tapi sayang sekarang booking tiketnya di batasi cuma 4 orang, padahal kalo saya rombongan bookingnya banyak, mohon maaf saya kasih bintang 2 saja, kecewa dengan perubahan, dan semoga jalur banyuwangi ke Bandung segera ada;2;7
banyak bugnya, mau batalin tiket gak bisa pas di pencet, setelah itu tiketnya yang belum ku bayar tiba-tiba hilang sendiri, ku kira ya udh ke batalin gara² tadi di pencet batal gak bisa, dan memutuskan untuk pesan lagi. GAK BISA soalnya udh ke booking???? ku cek bukingannya udh gak adaaaaaa, akhirnya aku telat beli kereta;1;2
"aplikasi nya skrg malah amburadul gk kyk 2-3 thn yg lalu pesen tiket lbh mudah gak lelet kyk skrg, tampilan nya aja keren dalem nya busuk...... mau pesen tiket buat seminggu ke dpn sm kluarga udah dibelain utak utek dr jam 00.01 biar bs dpt tiket hasil nya nihil server lemot skrg skali online hrs order.... lha kita kan hrs dftar penumpang nya dl klo blm didaftarin ktika udh tinggal order malah ada warning ""cannot booking more than one at same schedule route""pdhl dulu gk kyk gini,jd btl pergi";1;1
aplikasi sudah bagus, namun saya ingin menyampaikan saran. tambahkan keterangan untuk nomor bangku tersebut compartement atasnya bisa untuk koper besar atau tidak. karena itu jadi informasi penting terutama bagi pengguna kelas ekonomi. terima kasih;5;0
Aplikasi ini kurang maksimal meskipun harga selisih lebih mahal dibanding beli langsung di stasiun. sehari sebelum keberangkatan tidak ditampilkan, padahal di situs komersil lain ada. biaya aplikasi & implementasi tidak sesuai;2;1
kenapa susah banget beli tiket , bukanya gampang malah jadi ribet dikit2 trouble giliran bisa di buka tiket habis , paling kesel klo beli tiket buat acara penting pasti gabisa kebeli , ribet!! buang2 waktu buat istiarahat alhasil ZONK!!;1;1
Buka railfood tidak tersedia, padahal masih setengah perjalanan. Buka lifetracking juga gitu. Jelek banget apknya sekarang, padahal signal aman. tolong dong segera diperbaiki, jadi susah kalo mau pesen makan. makasih;2;1
Tolong untuk asuransi pembatalan tiketnya(qo**a) di tinjau kembali.. Bekerja samalah dengan asuransi yang amanah.. bukan yg ribet, sdh berbulan bulan klaim kita gak beres².. setiap di chat hanya di suruh menunggu. Heran koq bisa PT KAI bekerja sama dgn asuransi abal²..;2;1
aplikasinya aneh, pas udah batal booking, trus pesan tiket ulang malah ada notif sudah booking. padahal udah batal dan ngga ada riwayat ada tiket yang belum dipesan. tolong di perbaharui fiturnya biar ngga lelet;1;1
saya mengalami erorr saat pembayaran.saldo berkurang namun tiket di aplikasi belum terbayar. padhal masih ada waktu masa pembayaran. namun hal yang bikin jengkel lagi pelayanannya cs yang lambat dan tidak gerak cepat. mohon ditingkatkan lagi. terimakasih;1;1
mau batalin tiket aja ribet nya banget, only bisa ke rekening pengembalian dananya, gak aplikasi pelajar able, susah pokoknya, udah ma ada potongan mau dibatalin tuh, mau di ganti ke tiket lain juga ada potongan, ribet;2;1
aplikasi lemot, pembayaran via qris kode tidak muncul. bahkan setelah itu memesan rute yang sama tidak bisa. sistem mendeteksi kita telah memesan di rute tersebut. padahal tiket tidak muncul;1;1
ini aplikasi kenapa padahal saya mau mesen tiket buat 2 Minggu depan tapi tiket kereta lagi pada tidak tersedia tulisannya, tapi pas saya cek tiket yang habis malah tidak ada tiket kereta yang habis tolong dibetulkan aplikasinya apakah bug atau bukan ini gimana solusinya;1;2
pembayaran tidak ada admin tapi langsung kepotong 2500. ini sangat tidak fair karena penumpang terpaksa harus top up lagi dan terpotong 2500 lagi. kenapa sih gak kayak aplikasi lain yang jelas top up berapa isinya jelas berapa. kalau mau ada admin dari awal biar gak top up berulang seperti ini. bisa gak sih gak dzalim ke rakyat kecil. udah kayak penipuan aja top up 14.000 masuknya cuma 11.500;1;2
sangat bermanfaat untuk kalangan kebawah dan mudah untuk akses pesanan. Pemesanan juga tidak sulit untuk di pesan,Area bersih & nyaman untuk manaiki KAI. pokoknya rekomendasi banget naik KAI,di jamin aman dan baik;5;0
sebenarnya ini saya yang tidak bisa pakai atau sistemnya yang unik, jadi ada beberapa eror tapi sudah teratasi di hp saya.. sejauh ini mudah banget untuk pemesanan tiket dan okeh banget thanks KAI;5;0
Sebel dah booking pilih bayar pake Qris. giliran tinggal nampilin barcode g muncul ... mau ganti metode pembayaran g bs, mau psn ulang harus nunggu beberapa menit. kan bikin emosi... ya kalau mmng lg g bs bayar pake qris ya jangan d tampilkan metode pembayaran pake Qris... bikin emosi;3;0
Tiket close 10 meniit sebelum pemberangkatan. Beli di loket langsung ga dilayani. Kalau mememang mau full sistem online ga usah di close lah. Batalin pesanan di KA Lokal juga ga bisa, Ribet.;1;2
"Dengan ini saya melaporkan buruknya layanan KAI Access. Transaksi telah saya bayar lunas via QRIS, namun sistem KAI gagal menerbitkan e-tiket dan status masih ""Menunggu Pembayaran"". Saya dirugikan karena dana telah berkurang namun hak sebagai konsumen tidak terpenuhi.";1;2
Min tolong dong di upgrade untuk masalah kesalahan pengetikan NIK agar dapat diubah kapanpun atau beberapa jam sebelum keberangkatan,terkadang namanya kita manusia suka salah ketik Terimakasih;4;0
apaan ini KAI awalnya ku kasih bintang 5 sekarang bintang satu mengecewakan, habis update barusan aku pesen tiket di sesi pembayaran tiba² eror keluar ke home sendiri tak cari tiket di menu tiket buat mastiin pembayaran ulang malah tiket nya ga ada, mau pesen ulang tikenya malah ada notif bahwa udah pesen/boking tiket di jam kereta itu hadeh mana lagi ada kerjaan buru² pula,udah ganti ganti identitas buat bisa kebeli tiket tetep sama tiba² eror, chat dan telfon layanan 121 juga ga ada respon;1;0
"Akhir akhir ini sering muncul bug ""sesi habis/ sesi pemesanan kereta telah berakhir"" ketika mau memilih kereta. padahal belum lama buka aplikasi";2;0
tolong lah kenapa saya ingin Batalkan tiket gak bisa padahal batalkanya masih lama sama jam berangkatnya apasih access ini bukan 1,2 x kek gini kebanyakan update Tah Cemana bagus kek kemaren itu semuanya gampang gak ada kendala;1;1
ngga bisa login,entah pakai paket data maupun wifi padahal buat main game dan lainya lancar, terus kok sulit untuk ngecek tiket;1;1
kecewa sama info dari stasiun kreta dellay yang harusnya jam bermgkt 20.38 dellay sampe jam 22.00 tapi kreta datang jam 21.35 terlambat 1 menit tiket hangus dan hrus beli lagi..dari sms kai refund 7x24 jam di coba tidak bisa.;1;1
Sejak mulai update terbaru, sistem terasa berat dan lebih sering error. Orang membuat penilaian juga hanya formalitas, tidak ada tanggapan nyata.;2;0
Aplikasi tidak jelas, perlu maintenance lagi.. udah milih kursi mau pembayaran ga bisa.. setiap pemesanan pasti error..;1;1
habis maintenance malah gajelas semua, pesan tiket error terus, katanya sudah ada tiket dengan tujuan yang sama padal belum beli, sampe tiket habis baru bisa lagi;1;0
Jujur, kecewa banget udh beberapa kali pemesanan tiket ga muncul trs saldo jadi berkurang refund ga ada. Nanya ke cs malah suruh nunggu 1 jam terus wkwk;1;0
"Pliss tambah fitur aktifkan notifikasi tunggu tiket tujuan yang ingin dibeli yang sudah habis sudah tersedia kembali kalo ada orang yang tiba"" cancel, kalo udah ada fiturnya aku tambah jadi bintang 5 🙏🙏";4;3
"ini kenapa ya saat jam 12 malam buat booking dari gubeng ke blitar selalu gk kebuka (warna abu abu), ini servernya penuh atau gimana? sudah 3 hari tidak pesan tiket. Lalu ada tulisan ""Jadwal Kereta Tidak Tersedia"" padahal saya sudah klik untuk menampilkan tiket yg sudah habis dan kosong tetap ada tulisan itu tadi. sangat mengecewakan, sama kalo tanpa kursi itu bisa pesan ya? kenapa ini gk bisa ""seat not available"",DAN SAAT BISA KENAPA ADA PEMBERITAHUAN ""INVALID SERVER RESPONSE""??? INI KENAPA WOI";4;5
selalu nge bug.. dari tahun ke tahun ga ada perbaikan. gini mulu. padahal kereta lokal sekarang ga bisa beli di stasiun.belinya online.. Kenapa kalian ga berbenah yang betul. jengkelin. bahkan pembayaran ter debet 2 kali saking error nya aplikasi ini. makin lama makin jelek aja kualitasnya;1;3
aplikasi nya bagus tapi sering lemot padahal sinyal bagus kadang suka error akhirnya saya tidak bisa memesan tiket lagi, saya punya screenshot nya;1;0
Bagusan versi lama bisa atur2 jadwal sesuai keperluan. Misal kehabisan tiket kereta ke kota tujuan. Masih bisa lihat jadwal kereta laine untuk menyesuaikan kereta yang tersedia walopun pindah2 kereta (beli tiket lebih dari 1 kereta) Versi lama walopun tiket habis jadwal kereta masih mincul.;1;2
sumpah ini aplikasi membantu sekali, bisa beli tiket online, kerata apapun dari mulai kereta jarak jauh, krl, ka bandara, keretacepat bisa dengan mudah, metode pembayaran cukup lengkap juga😁👍;5;3
halo ini gimana Kai katanya suruh upgrade ke member basic udah ngisi data bolak balik tetep aja ngga bisa.. kasih solusi nya Gimna saya udah sampe bolak balik ganti akun tetep aja tidak bisa;3;0
Gak jelas, mesti klau musim lebaran pesan tiket mau pilih kursi sulit sekali.. tiba2 aja penuh.. padahal aslinya ada.. permainan orang dalam.. Aplikasi buat antek2 sama kerabat2 nya.. Sampah..;1;1
gila pesen tiket -2 Minggu dari kircok ke Kutoarjo jelas jelas kursi banyak tapi di tolak terus dengan no seat parah sih ini tapi cek di aplikasi sebelah jelas masih ada banyak dan mudah walau ada fee nya perlu perbaikan sih ini sistemnya kebanyakan bug;1;1
buka kai acces dari 1 jam sebelom boarding malah gabisa, error terus, tiba2 e-boarding pass berubah jadi 0.0 jam sebelum keberangkatan baru bisa dicetak itupun ga keluar2 nama penumpangnya yg mau dicetak e-boarding passnya, biasanya 2 jam sebelum keberangkatan udah bisa loh??? udah dm ig kai ga ada tanggapan???padahal lg buru2 ngejar kereta biar ga ketinggalan. giliran pesan tiket suruh buru2 giliran udah hari h nya gaberfungsi. baru kali ini kecewa sm kai;1;5
Sudah instal KAI Access, mau update ke member Basic, data sudah diisi, OTP juga diterima dan langsung isikan, eh loading terus sampe habis batas waktu 2 menit. Sudah coba 7 kali, gagal selalu. Ada yang tau kenapa?;2;4
"sudah pakai jaminan refund, giliran mau refund gabisa"" otp nya selalu tidak valid, sudah dicoba semua cara yang disarankan sampai reinstal apk nyaa. Buat apa ada apk kalau masalah refund juga harus ke stasiun dan lebih ribet urusannya dengan bawa dokumen dll???";1;7
